truth_index,truth_law,truth_state,delta,topology,budget,greedy_utility,optimal_utility,greedy_over_optimal,additive_gap,greedy_panel,one_optimal_panel
6,P00,0110,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,0010 0100 0111
6,P00,0110,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0010 0100 0110 0111
6,P00,0110,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0010 0100 0101 0110 0111
7,P00,0111,1e-05,complete_survivor,1,127,127,1.0,0,0000,0000
7,P00,0111,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,0011 0100
7,P00,0111,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,0011 0101 0110
7,P00,0111,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0011 0101 0110 0111
7,P00,0111,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0011 0100 0101 0110 0111
8,P00,1000,1e-05,complete_survivor,1,127,127,1.0,0,0000,1111
8,P00,1000,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1011 1100
8,P00,1000,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1001 1010 1100
8,P00,1000,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1100
8,P00,1000,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1100
9,P00,1001,1e-05,complete_survivor,1,127,127,1.0,0,0000,1110
9,P00,1001,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1010 1101
9,P00,1001,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1000 1011 1101
9,P00,1001,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1011 1101
9,P00,1001,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1101
10,P00,1010,1e-05,complete_survivor,1,127,127,1.0,0,0000,1101
10,P00,1010,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1001 1110
10,P00,1010,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1000 1011 1110
10,P00,1010,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1010 1011 1110
10,P00,1010,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1110
11,P00,1011,1e-05,complete_survivor,1,127,127,1.0,0,0000,1100
11,P00,1011,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1000 1111
11,P00,1011,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1001 1010 1111
11,P00,1011,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1001 1010 1011 1111
11,P00,1011,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1111
12,P00,1100,1e-05,complete_survivor,1,127,127,1.0,0,0000,1011
12,P00,1100,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1000 1111
12,P00,1100,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1000 1101 1110
12,P00,1100,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1100 1101 1110
12,P00,1100,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1100 1101 1110 1111
13,P00,1101,1e-05,complete_survivor,1,127,127,1.0,0,0000,1010
13,P00,1101,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1001 1110
13,P00,1101,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1001 1100 1111
13,P00,1101,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1001 1100 1101 1111
13,P00,1101,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1001 1100 1101 1110 1111
14,P00,1110,1e-05,complete_survivor,1,127,127,1.0,0,0000,1001
14,P00,1110,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1010 1101
14,P00,1110,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1010 1100 1111
14,P00,1110,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1010 1100 1110 1111
14,P00,1110,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1010 1100 1101 1110 1111
15,P00,1111,1e-05,complete_survivor,1,127,127,1.0,0,0000,1000
15,P00,1111,1e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1011 1100
15,P00,1111,1e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1011 1101 1110
15,P00,1111,1e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1011 1101 1110 1111
15,P00,1111,1e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1011 1100 1101 1110 1111
0,P00,0000,1e-05,law_mst_x_q4,1,127,127,1.0,0,0001,0001
0,P00,0000,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0000 0001
0,P00,0000,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0000 0001 0010
0,P00,0000,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0000 0001 0010 0011
0,P00,0000,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0100
1,P00,0001,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0000
1,P00,0001,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0000 0001
1,P00,0001,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0000 0001 0011
1,P00,0001,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0000 0001 0010 0011
1,P00,0001,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0101
2,P00,0010,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0011
2,P00,0010,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0010 0011
2,P00,0010,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0000 0010 0011
2,P00,0010,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0000 0001 0010 0011
2,P00,0010,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0110
3,P00,0011,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0010
3,P00,0011,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0010 0011
3,P00,0011,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0001 0010 0011
3,P00,0011,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0000 0001 0010 0011
3,P00,0011,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0111
4,P00,0100,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0101
4,P00,0100,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0100 0101
4,P00,0100,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0100 0101 0110
4,P00,0100,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0100 0101 0110 0111
4,P00,0100,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0100 0101 0110 0111
5,P00,0101,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0100
5,P00,0101,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0100 0101
5,P00,0101,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0100 0101 0111
5,P00,0101,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0100 0101 0110 0111
5,P00,0101,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0001 0100 0101 0110 0111
6,P00,0110,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0111
6,P00,0110,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0110 0111
6,P00,0110,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0100 0110 0111
6,P00,0110,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0100 0101 0110 0111
6,P00,0110,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0010 0100 0101 0110 0111
7,P00,0111,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,0110
7,P00,0111,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,0110 0111
7,P00,0111,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,0101 0110 0111
7,P00,0111,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0100 0101 0110 0111
7,P00,0111,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0011 0100 0101 0110 0111
8,P00,1000,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1001
8,P00,1000,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1000 1001
8,P00,1000,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1001 1010
8,P00,1000,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1011
8,P00,1000,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1100
9,P00,1001,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1000
9,P00,1001,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1000 1001
9,P00,1001,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1001 1011
9,P00,1001,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1011
9,P00,1001,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1101
10,P00,1010,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1011
10,P00,1010,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1010 1011
10,P00,1010,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1010 1011
10,P00,1010,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1011
10,P00,1010,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1110
11,P00,1011,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1010
11,P00,1011,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1010 1011
11,P00,1011,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1001 1010 1011
11,P00,1011,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1011
11,P00,1011,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1111
12,P00,1100,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1101
12,P00,1100,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1100 1101
12,P00,1100,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1100 1101 1110
12,P00,1100,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1100 1101 1110 1111
12,P00,1100,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1100 1101 1110 1111
13,P00,1101,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1100
13,P00,1101,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1100 1101
13,P00,1101,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1100 1101 1111
13,P00,1101,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1100 1101 1110 1111
13,P00,1101,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1001 1100 1101 1110 1111
14,P00,1110,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1111
14,P00,1110,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1110 1111
14,P00,1110,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1100 1110 1111
14,P00,1110,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1100 1101 1110 1111
14,P00,1110,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1010 1100 1101 1110 1111
15,P00,1111,1e-05,law_mst_x_q4,1,127,127,1.0,0,0000,1110
15,P00,1111,1e-05,law_mst_x_q4,2,127,127,1.0,0,0000 0001,1110 1111
15,P00,1111,1e-05,law_mst_x_q4,3,127,127,1.0,0,0000 0001 0010,1101 1110 1111
15,P00,1111,1e-05,law_mst_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1100 1101 1110 1111
15,P00,1111,1e-05,law_mst_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1011 1100 1101 1110 1111
0,P00,0000,1e-05,law_clique_x_q4,1,127,127,1.0,0,0111,0111
0,P00,0000,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0111,0011 0100
0,P00,0000,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0111,0001 0010 0100
0,P00,0000,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0111,0000 0001 0010 0100
0,P00,0000,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100
1,P00,0001,1e-05,law_clique_x_q4,1,127,127,1.0,0,0110,0110
1,P00,0001,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0110,0010 0101
1,P00,0001,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0110,0000 0011 0101
1,P00,0001,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0110,0000 0001 0011 0101
1,P00,0001,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0110,0000 0001 0010 0011 0101
2,P00,0010,1e-05,law_clique_x_q4,1,127,127,1.0,0,0101,0101
2,P00,0010,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0101,0001 0110
2,P00,0010,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0101,0000 0011 0110
2,P00,0010,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0101,0000 0010 0011 0110
2,P00,0010,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0101,0000 0001 0010 0011 0110
3,P00,0011,1e-05,law_clique_x_q4,1,127,127,1.0,0,0100,0100
3,P00,0011,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0100,0000 0111
3,P00,0011,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0100,0001 0010 0111
3,P00,0011,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0100,0001 0010 0011 0111
3,P00,0011,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0111
4,P00,0100,1e-05,law_clique_x_q4,1,127,127,1.0,0,0011,0011
4,P00,0100,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0011,0000 0111
4,P00,0100,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0011,0000 0101 0110
4,P00,0100,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0000 0100 0101 0110
4,P00,0100,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0100 0101 0110 0111
5,P00,0101,1e-05,law_clique_x_q4,1,127,127,1.0,0,0010,0010
5,P00,0101,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0010,0001 0110
5,P00,0101,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,0001 0100 0111
5,P00,0101,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0001 0100 0101 0111
5,P00,0101,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0001 0100 0101 0110 0111
6,P00,0110,1e-05,law_clique_x_q4,1,127,127,1.0,0,0001,0001
6,P00,0110,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,0010 0101
6,P00,0110,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,0010 0100 0111
6,P00,0110,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0010 0100 0110 0111
6,P00,0110,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0010 0100 0101 0110 0111
7,P00,0111,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,0000
7,P00,0111,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,0011 0100
7,P00,0111,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,0011 0101 0110
7,P00,0111,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,0011 0101 0110 0111
7,P00,0111,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,0011 0100 0101 0110 0111
8,P00,1000,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1111
8,P00,1000,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1011 1100
8,P00,1000,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1001 1010 1100
8,P00,1000,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1100
8,P00,1000,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1100
9,P00,1001,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1110
9,P00,1001,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1010 1101
9,P00,1001,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1011 1101
9,P00,1001,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1011 1101
9,P00,1001,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1101
10,P00,1010,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1101
10,P00,1010,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1001 1110
10,P00,1010,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1011 1110
10,P00,1010,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1010 1011 1110
10,P00,1010,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1110
11,P00,1011,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1100
11,P00,1011,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1000 1111
11,P00,1011,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1001 1010 1111
11,P00,1011,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1001 1010 1011 1111
11,P00,1011,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1111
12,P00,1100,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1011
12,P00,1100,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1000 1111
12,P00,1100,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1000 1101 1110
12,P00,1100,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1000 1100 1101 1110
12,P00,1100,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1100 1101 1110 1111
13,P00,1101,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1010
13,P00,1101,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1001 1110
13,P00,1101,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1001 1100 1111
13,P00,1101,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1001 1100 1101 1111
13,P00,1101,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1001 1100 1101 1110 1111
14,P00,1110,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1001
14,P00,1110,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1010 1101
14,P00,1110,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1010 1100 1111
14,P00,1110,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1010 1100 1110 1111
14,P00,1110,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1010 1100 1101 1110 1111
15,P00,1111,1e-05,law_clique_x_q4,1,127,127,1.0,0,0000,1000
15,P00,1111,1e-05,law_clique_x_q4,2,127,127,1.0,0,0000 0001,1011 1100
15,P00,1111,1e-05,law_clique_x_q4,3,127,127,1.0,0,0000 0001 0010,1011 1101 1110
15,P00,1111,1e-05,law_clique_x_q4,4,127,127,1.0,0,0000 0001 0010 0011,1011 1101 1110 1111
15,P00,1111,1e-05,law_clique_x_q4,5,127,127,1.0,0,0000 0001 0010 0011 0100,1011 1100 1101 1110 1111
0,P00,0000,2.5e-05,complete_survivor,1,127,127,1.0,0,0111,0111
0,P00,0000,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0111,0011 0100
0,P00,0000,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0111,0001 0010 0100
0,P00,0000,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0111,0000 0001 0010 0100
0,P00,0000,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0111,0000 0001 0010 0011 0100
1,P00,0001,2.5e-05,complete_survivor,1,127,127,1.0,0,0110,0110
1,P00,0001,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0110,0010 0101
1,P00,0001,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0110,0000 0011 0101
1,P00,0001,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0110,0000 0001 0011 0101
1,P00,0001,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0110,0000 0001 0010 0011 0101
2,P00,0010,2.5e-05,complete_survivor,1,127,127,1.0,0,0101,0101
2,P00,0010,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0101,0001 0110
2,P00,0010,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0101,0000 0011 0110
2,P00,0010,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0101,0000 0010 0011 0110
2,P00,0010,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0101,0000 0001 0010 0011 0110
3,P00,0011,2.5e-05,complete_survivor,1,127,127,1.0,0,0100,0100
3,P00,0011,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0100,0000 0111
3,P00,0011,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0100,0001 0010 0111
3,P00,0011,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0100,0001 0010 0011 0111
3,P00,0011,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0001 0010 0011 0111
4,P00,0100,2.5e-05,complete_survivor,1,127,127,1.0,0,0011,0011
4,P00,0100,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0011,0000 0111
4,P00,0100,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0011,0000 0101 0110
4,P00,0100,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0000 0100 0101 0110
4,P00,0100,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0000 0100 0101 0110 0111
5,P00,0101,2.5e-05,complete_survivor,1,127,127,1.0,0,0010,0010
5,P00,0101,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0010,0001 0110
5,P00,0101,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,0001 0100 0111
5,P00,0101,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0001 0100 0101 0111
5,P00,0101,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0001 0100 0101 0110 0111
6,P00,0110,2.5e-05,complete_survivor,1,127,127,1.0,0,0001,0001
6,P00,0110,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,0010 0101
6,P00,0110,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,0010 0100 0111
6,P00,0110,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0010 0100 0110 0111
6,P00,0110,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0010 0100 0101 0110 0111
7,P00,0111,2.5e-05,complete_survivor,1,127,127,1.0,0,0000,0000
7,P00,0111,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,0011 0100
7,P00,0111,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,0011 0101 0110
7,P00,0111,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,0011 0101 0110 0111
7,P00,0111,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,0011 0100 0101 0110 0111
8,P00,1000,2.5e-05,complete_survivor,1,127,127,1.0,0,0000,1111
8,P00,1000,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1011 1100
8,P00,1000,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1001 1010 1100
8,P00,1000,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1010 1100
8,P00,1000,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1100
9,P00,1001,2.5e-05,complete_survivor,1,127,127,1.0,0,0000,1110
9,P00,1001,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1010 1101
9,P00,1001,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1000 1011 1101
9,P00,1001,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1001 1011 1101
9,P00,1001,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1101
10,P00,1010,2.5e-05,complete_survivor,1,127,127,1.0,0,0000,1101
10,P00,1010,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1001 1110
10,P00,1010,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1000 1011 1110
10,P00,1010,2.5e-05,complete_survivor,4,127,127,1.0,0,0000 0001 0010 0011,1000 1010 1011 1110
10,P00,1010,2.5e-05,complete_survivor,5,127,127,1.0,0,0000 0001 0010 0011 0100,1000 1001 1010 1011 1110
11,P00,1011,2.5e-05,complete_survivor,1,127,127,1.0,0,0000,1100
11,P00,1011,2.5e-05,complete_survivor,2,127,127,1.0,0,0000 0001,1000 1111
11,P00,1011,2.5e-05,complete_survivor,3,127,127,1.0,0,0000 0001 0010,1001 1010 1111
